id,phone,timestamp,rssi_raw,rssi_median,rssi_kalman,distance
219873460,1,1660507952,-65.0,-66.0,-33.0,0.5
219873460,1,1660507953,-66.0,-66.0,-48.0,0.5
251879309,0,1660508084,-43.0,-45.0,-22.5,0.5
251879309,0,1660508084,-42.0,-45.0,-32.0,0.5
251879309,0,1660508084,-42.0,-44.0,-36.0,0.5
251879309,0,1660508084,-42.0,-43.0,-38.0,0.5
251879309,0,1660508085,-45.0,-44.0,-39.3,0.5
251879309,0,1660508134,-45.0,-45.0,-40.4,0.5
251879309,0,1660508135,-46.0,-45.0,-41.2,0.5
251879309,0,1660508135,-45.0,-45.0,-41.8,0.5
251879309,0,1660508135,-43.0,-45.0,-42.2,0.5
219873460,1,1660508136,-86.0,-79.5,-59.8,0.5
251879309,0,1660508136,-43.0,-45.0,-42.6,0.5
219873460,1,1660508136,-84.0,-80.0,-66.5,1.5
251879309,0,1660508136,-45.0,-45.0,-42.8,0.5
219873460,1,1660508136,-84.0,-80.5,-70.5,1.5
251879309,0,1660508136,-45.0,-45.0,-43.1,0.5
251879309,0,1660508137,-45.0,-45.0,-43.2,0.5
219873460,1,1660508137,-79.0,-80.0,-72.8,1.5
251879309,0,1660508137,-45.0,-45.0,-43.4,0.5
219873460,1,1660508137,-79.0,-79.5,-74.2,1.5
251879309,0,1660508137,-45.0,-45.0,-43.5,0.5
251879309,0,1660508137,-46.0,-45.0,-43.6,0.5
219873460,1,1660508137,-83.0,-80.0,-75.3,3.5
224577689,0,1660508138,-41.0,-39.0,-19.5,0.5
219873460,1,1660508138,-82.0,-80.5,-76.1,3.5
251879309,0,1660508138,-41.0,-45.0,-43.7,0.5
224577689,0,1660508138,-41.0,-39.0,-27.5,0.5
224577689,0,1660508138,-41.0,-40.0,-31.6,0.5
219873460,1,1660508186,-79.0,-81.0,-76.9,3.5
224577689,0,1660508187,-39.0,-39.0,-33.6,0.5
251879309,0,1660508187,-45.0,-45.0,-43.8,0.5
251879309,0,1660508187,-46.0,-45.0,-43.9,0.5
219873460,1,1660508187,-82.0,-82.0,-77.5,3.5
224577689,0,1660508187,-39.0,-39.0,-34.8,0.5
251879309,0,1660508187,-45.0,-45.0,-44.0,0.5
224577689,0,1660508187,-39.0,-39.0,-35.6,0.5
219873460,1,1660508187,-84.0,-82.0,-78.1,3.5
251879309,0,1660508187,-46.0,-45.0,-44.0,0.5
251879309,0,1660508187,-43.0,-45.0,-44.1,0.5
219873460,1,1660508187,-83.0,-82.0,-78.5,3.5
224577689,0,1660508188,-38.0,-39.0,-36.2,0.5
219873460,1,1660508188,-79.0,-82.0,-78.9,3.5
251879309,0,1660508188,-43.0,-45.0,-44.1,0.5
224577689,0,1660508188,-39.0,-39.0,-36.6,0.5
251879309,0,1660508188,-43.0,-45.0,-44.2,0.5
224577689,0,1660508188,-39.0,-39.0,-36.9,0.5
224577689,0,1660508188,-39.0,-39.0,-37.2,0.5
219873460,1,1660508188,-84.0,-82.0,-79.2,3.5
251879309,0,1660508188,-46.0,-45.0,-44.2,0.5
224577689,0,1660508188,-40.0,-39.0,-37.4,0.5
251879309,0,1660508188,-46.0,-45.0,-44.3,0.5
251879309,0,1660508189,-45.0,-45.0,-44.3,0.5
224577689,0,1660508189,-41.0,-39.0,-37.5,0.5
219873460,1,1660508189,-83.0,-82.5,-79.5,3.5
224577689,0,1660508189,-41.0,-39.0,-37.7,0.5
