id,phone,timestamp,rssi_raw,rssi_median,rssi_kalman,distance
390275417,1,1660507982,-70.0,-67.5,-33.75,0.5
219873460,1,1660507983,-71.0,-67.0,-33.5,0.5
390275417,1,1660507986,-67.0,-67.0,-48.904761904761905,0.5
219873460,1,1660507986,-69.0,-68.0,-49.19891008174387,0.5
219873460,1,1660507988,-69.0,-68.5,-56.52684178054985,0.5
390275417,1,1660507988,-66.0,-66.5,-55.55312609114283,0.5
390275417,1,1660507990,-63.0,-66.0,-58.76699498041443,0.5
219873460,1,1660507990,-68.0,-68.0,-60.103506735411536,0.5
390275417,1,1660507993,-69.0,-66.5,-60.728144415049684,0.5
219873460,1,1660507993,-69.0,-68.5,-62.268876029682666,0.5
219873460,1,1660507995,-69.0,-69.0,-63.739432907134976,0.5
390275417,1,1660507995,-70.0,-67.0,-62.074017318435786,0.5
219873460,1,1660507997,-70.0,-69.0,-64.73413387817101,0.5
390275417,1,1660507998,-71.0,-68.0,-63.174469815117604,0.5
390275417,1,1660508000,-67.0,-67.0,-63.803278130218985,0.5
219873460,1,1660508000,-69.0,-69.0,-65.44224541541419,1.5
390275417,1,1660508002,-70.0,-68.0,-64.41507936106493,0.5
219873460,1,1660508003,-70.0,-69.0,-65.96715738673345,1.5
219873460,1,1660508005,-68.0,-69.0,-66.3691268198828,1.5
390275417,1,1660508005,-69.0,-69.0,-65.01968435227165,1.5
390275417,1,1660508007,-70.0,-69.0,-65.50209509935607,1.5
219873460,1,1660508007,-68.0,-69.0,-66.68522860257552,1.5
219873460,1,1660508009,-68.0,-69.0,-66.93933335979503,1.5
390275417,1,1660508009,-70.0,-69.0,-65.8935765972051,1.5
219873460,1,1660508013,-67.0,-68.5,-67.09692197832976,1.5
390275417,1,1660508014,-70.0,-69.0,-66.21605155217881,1.5
219873460,1,1660508016,-69.0,-69.0,-67.27393210717099,1.5
390275417,1,1660508016,-71.0,-69.0,-66.48521827069406,1.5
390275417,1,1660508020,-71.0,-70.0,-66.80293290460037,1.5
219873460,1,1660508020,-67.0,-68.0,-67.33679265401275,1.5
390275417,1,1660508024,-66.0,-70.0,-67.07648874969891,1.5
219873460,1,1660508024,-67.0,-68.5,-67.43009410212115,1.5
219873460,1,1660508028,-69.0,-69.0,-67.5479209094296,1.5
390275417,1,1660508029,-66.0,-69.5,-67.2731224449282,1.5
219873460,1,1660508033,-68.0,-69.0,-67.65077463695636,1.5
390275417,1,1660508033,-74.0,-70.0,-67.48234512308308,1.5
390275417,1,1660508038,-73.0,-70.0,-67.66628465982006,1.5
219873460,1,1660508039,-67.0,-69.0,-67.74123053987813,1.5
390275417,1,1660508045,-72.0,-70.0,-67.82889856150175,1.5
219873460,1,1660508045,-68.0,-68.0,-67.75769456449143,1.5
219873460,1,1660508047,-66.0,-68.0,-67.77222414395162,1.5
390275417,1,1660508047,-70.0,-70.0,-67.97340757807812,1.5
219873460,1,1660508052,-67.0,-68.0,-67.78513925125918,1.5
390275417,1,1660508052,-69.0,-70.0,-68.10245100949426,1.5
224577689,0,1660508055,-37.0,-37.5,-18.75,0.5
219873460,1,1660508057,-67.0,-68.0,-67.79669319730061,1.5
224577689,0,1660508057,-38.0,-38.0,-26.59259259259259,0.5
390275417,1,1660508060,-72.0,-70.0,-68.21820615992328,1.5
224577689,0,1660508062,-38.0,-38.0,-30.3225525020253,0.5
390275417,1,1660508064,-68.0,-70.0,-68.32248076932946,1.5
219873460,1,1660508064,-66.0,-67.0,-67.75595504323951,1.5
224577689,0,1660508066,-38.0,-38.0,-32.37251399410819,0.5
219873460,1,1660508068,-65.0,-67.0,-67.71890181090988,1.5
390275417,1,1660508068,-70.0,-70.0,-68.41678498744758,1.5
224577689,0,1660508070,-38.0,-38.0,-33.62917248098606,0.5
390275417,1,1660508074,-70.0,-70.0,-68.50238777911876,1.5
219873460,1,1660508074,-65.0,-67.0,-67.68506921610037,1.5
224577689,0,1660508074,-38.0,-38.0,-34.46337080984758,0.5
224577689,0,1660508079,-38.0,-38.0,-35.0508377592162,0.5
390275417,1,1660508081,-70.0,-70.0,-68.5803614135546,1.5
219873460,1,1660508081,-66.0,-67.0,-67.65406657672064,1.5
219873460,1,1660508084,-66.0,-67.0,-67.62556293832733,1.5
390275417,1,1660508084,-73.0,-70.0,-68.65161677829808,1.5
224577689,0,1660508086,-38.0,-38.0,-35.48361551611645,0.5
219873460,1,1660508089,-66.0,-66.0,-67.5572552674632,1.5
224577689,0,1660508091,-38.0,-38.0,-35.81388079822633,0.5
390275417,1,1660508092,-70.0,-70.0,-68.71693158488566,1.5
390275417,1,1660508096,-73.0,-70.0,-68.77697303366318,1.5
219873460,1,1660508098,-66.0,-66.0,-67.4934777783352,1.5
224577689,0,1660508098,-38.0,-38.0,-36.07313746743576,0.5
219873460,1,1660508101,-67.0,-66.0,-67.43384029016464,1.5
390275417,1,1660508101,-70.0,-70.0,-68.83231613322438,1.5
224577689,0,1660508103,-38.0,-38.0,-36.28140498988857,0.5
219873460,1,1660508105,-66.0,-66.0,-67.37799255273684,1.5
390275417,1,1660508105,-73.0,-70.0,-68.88345859158491,1.5
224577689,0,1660508107,-38.0,-38.0,-36.45195192476917,0.5
390275417,1,1660508111,-71.0,-70.0,-68.9308329868074,1.5
224577689,0,1660508112,-38.0,-38.0,-36.59388736099192,0.5
390275417,1,1660508116,-68.0,-70.0,-68.97481676640062,1.5
224577689,0,1660508116,-38.0,-38.0,-36.713653977610704,0.5
219873460,1,1660508118,-65.0,-66.0,-67.32561965467406,1.5
390275417,1,1660508118,-71.0,-70.0,-69.01574050433132,1.5
224577689,0,1660508120,-38.0,-38.0,-36.81592639115334,0.5
390275417,1,1660508122,-70.0,-70.0,-69.05389475231992,1.5
219873460,1,1660508123,-67.0,-66.0,-67.276437998713,1.5
224577689,0,1660508124,-38.0,-38.0,-36.90417216741988,0.5
219873460,1,1660508126,-66.0,-66.0,-67.23019177248874,1.5
224577689,0,1660508129,-38.0,-38.0,-36.981013652797216,0.5
390275417,1,1660508129,-71.0,-70.5,-69.10837139286718,1.5
390275417,1,1660508132,-70.0,-70.0,-69.14119165530327,1.5
224577689,0,1660508133,-38.0,-38.0,-37.04846801623884,0.5
219873460,1,1660508136,-67.0,-66.0,-67.1866498517808,1.5
390275417,1,1660508137,-69.0,-70.0,-69.17194363558048,1.5
224577689,0,1660508137,-38.0,-38.0,-37.108110502517874,0.5
224577689,0,1660508142,-38.0,-38.0,-37.16118793780771,0.5
224577689,0,1660508144,-38.0,-38.0,-37.20869921773753,0.5
390275417,1,1660508147,-71.0,-70.5,-69.21823490652065,1.5
219873460,1,1660508147,-66.0,-66.0,-67.14560308091907,1.5
224577689,0,1660508149,-38.0,-38.0,-37.25145340202814,0.5
219873460,1,1660508152,-67.0,-66.0,-67.10686188201916,1.5
224577689,0,1660508153,-38.0,-38.0,-37.29011232208848,0.5
390275417,1,1660508155,-73.0,-71.0,-69.2790187892443,1.5
390275417,1,1660508155,-41.0,-71.0,-69.33676989540962,1.5
224577689,0,1660508155,-41.0,-38.0,-37.32522228709066,0.5
224577689,0,1660508157,-38.0,-38.0,-37.35723799205246,0.5
224577689,0,1660508157,-38.0,-38.0,-37.38654076546837,0.5
224577689,0,1660508159,-38.0,-38.0,-37.413452652446814,0.5
224577689,0,1660508161,-38.0,-38.0,-37.438247395792175,0.5
224577689,0,1660508164,-38.0,-38.0,-37.46115907986592,0.5
224577689,0,1660508168,-38.0,-38.0,-37.482388994754196,0.5
390275417,1,1660508169,-69.0,-70.0,-69.35866171620357,1.5
224577689,0,1660508170,-38.0,-38.0,-37.5021111318953,0.5
390275417,1,1660508174,-69.0,-70.0,-69.3792860542435,1.5
