id,phone,rssi_raw,rssi_median,distance
509757740,1,-81.0,-82.5,0.5
509757740,1,-80.0,-82.0,0.5
509757740,1,-84.0,-82.5,0.5
509757740,1,-81.0,-82.0,1.5
509757740,1,-80.0,-81.5,1.5
509757740,1,-78.0,-81.0,1.5
509757740,1,-83.0,-81.5,1.5
509757740,1,-83.0,-82.0,1.5
509757740,1,-79.0,-81.5,1.5
509757740,1,-82.0,-82.0,3.5
509757740,1,-80.0,-81.5,3.5
509757740,1,-78.0,-81.0,3.5
509757740,1,-81.0,-81.0,3.5
509757740,1,-81.0,-81.0,3.5
509757740,1,-81.0,-81.0,3.5
509757740,1,-81.0,-81.0,3.5
509757740,1,-81.0,-81.0,3.5
509757740,1,-79.0,-81.0,3.5
509757740,1,-84.0,-81.0,3.5
509757740,1,-81.0,-81.0,3.5
509757740,1,-86.0,-81.0,3.5
509757740,1,-85.0,-81.0,3.5
509757740,1,-75.0,-81.0,3.5
509757740,1,-72.0,-81.0,3.5
509757740,1,-76.0,-81.0,3.5
509757740,1,-74.0,-81.0,3.5
509757740,1,-76.0,-81.0,3.5
509757740,1,-74.0,-81.0,3.5
509757740,1,-74.0,-80.0,3.5
509757740,1,-78.0,-80.0,3.5
509757740,1,-77.0,-78.5,3.5
509757740,1,-75.0,-78.5,3.5
509757740,1,-75.0,-78.0,3.5
509757740,1,-77.0,-77.0,3.5
509757740,1,-84.0,-77.5,3.5
509757740,1,-78.0,-77.0,3.5
509757740,1,-82.0,-77.0,3.5
509757740,1,-88.0,-77.0,3.5
509757740,1,-79.0,-77.0,3.5
509757740,1,-82.0,-77.0,3.5
509757740,1,-81.0,-77.5,3.5
509757740,1,-81.0,-77.5,3.5
509757740,1,-85.0,-78.0,3.5
509757740,1,-80.0,-78.0,3.5
509757740,1,-87.0,-78.0,3.5
509757740,1,-84.0,-78.0,3.5
509757740,1,-85.0,-79.0,3.5
509757740,1,-84.0,-80.0,3.5
509757740,1,-82.0,-81.0,3.5
509757740,1,-84.0,-81.0,3.5
509757740,1,-84.0,-82.0,3.5
509757740,1,-81.0,-81.5,3.5
509757740,1,-84.0,-82.0,3.5
509757740,1,-81.0,-82.0,3.5
509757740,1,-80.0,-82.0,3.5
509757740,1,-80.0,-82.0,3.5
509757740,1,-80.0,-82.0,3.5
509757740,1,-84.0,-82.0,3.5
509757740,1,-80.0,-82.0,3.5
509757740,1,-79.0,-82.0,3.5
509757740,1,-82.0,-82.0,3.5
509757740,1,-79.0,-81.5,3.5
509757740,1,-82.0,-82.0,3.5
509757740,1,-82.0,-82.0,3.5
509757740,1,-83.0,-82.0,3.5
509757740,1,-81.0,-82.0,3.5
509757740,1,-80.0,-82.0,3.5
509757740,1,-81.0,-81.0,3.5
509757740,1,-81.0,-81.0,3.5
509757740,1,-84.0,-81.0,3.5
509757740,1,-76.0,-81.0,3.5
509757740,1,-79.0,-81.0,3.5
509757740,1,-85.0,-81.0,3.5
509757740,1,-88.0,-81.0,3.5
509757740,1,-84.0,-82.0,3.5
509757740,1,-89.0,-82.0,3.5
509757740,1,-88.0,-83.0,3.5
509757740,1,-83.0,-83.0,3.5
509757740,1,-83.0,-83.0,3.5
509757740,1,-80.0,-83.0,3.5
509757740,1,-82.0,-83.0,3.5
509757740,1,-84.0,-83.0,3.5
509757740,1,-88.0,-84.0,3.5
509757740,1,-91.0,-84.0,3.5
509757740,1,-86.0,-84.0,3.5
509757740,1,-90.0,-84.0,3.5
509757740,1,-89.0,-84.5,3.5
509757740,1,-87.0,-85.0,3.5
509757740,1,-95.0,-85.5,3.5
509757740,1,-91.0,-86.0,3.5
509757740,1,-92.0,-87.0,3.5
509757740,1,-92.0,-87.5,3.5
509757740,1,-84.0,-87.0,3.5
509757740,1,-91.0,-88.0,3.5
